Timestamp (s),Detected Number
708.0000000000001,55.4
709.1,54.0
710.2,54.0
711.3000000000001,55.4
712.4000000000001,55.4
713.5000000000001,55.4
714.6,55.4
715.7,55.4
716.8000000000001,55.4
717.9000000000001,55.4
719.0000000000001,55.4
720.1,55.4
721.2,55.4
722.3000000000001,55.4
723.4000000000001,55.4
724.5000000000001,55.4
725.6,55.4
726.7,55.4
727.8000000000001,55.4
728.9000000000001,55.4
730.0000000000001,55.4
731.1,55.3
732.3000000000001,55.3
733.4000000000001,55.3
734.5000000000001,55.3
735.6,55.3
736.7,55.3
737.8000000000001,55.4
738.9000000000001,55.4
740.0000000000001,55.4
741.2,55.4
742.3000000000001,55.4
743.4000000000001,55.3
744.5000000000001,55.3
745.6,55.3
746.7,55.4
747.8000000000001,55.4
748.9000000000001,55.4
750.1,55.4
751.2,55.4
752.3000000000001,55.4
753.4000000000001,55.4
754.5000000000001,55.4
755.7,55.5
756.8000000000001,55.5
757.9000000000001,55.5
759.0000000000001,55.5
760.1,55.5
761.3000000000001,55.5
762.4000000000001,55.5
763.5000000000001,55.5
764.6,55.5
765.7,55.5
766.9000000000001,55.5
768.0000000000001,55.5
769.1,55.5
770.3000000000001,55.5
771.4000000000001,55.5
772.5000000000001,55.5
773.6,55.7
774.8000000000001,55.6
775.9000000000001,55.6
777.0000000000001,55.6
778.2,55.6
779.3000000000001,55.6
780.5000000000001,55.6
781.6,55.6
782.7,55.6
783.9000000000001,55.6
785.0000000000001,55.6
786.1,55.6
787.3000000000001,55.6
788.4000000000001,55.6
789.5000000000001,55.6
790.7,55.5
791.8000000000001,55.2
792.9000000000001,55.2
794.1,55.4
795.2,55.4
796.4000000000001,55.4
797.5000000000001,55.4
798.6,55.4
799.8000000000001,55.4
800.9000000000001,55.4
802.1,55.4
803.2,55.4
804.4000000000001,55.5
805.5000000000001,55.5
806.6,55.5
807.8000000000001,55.4
808.9000000000001,55.6
810.1,55.4
811.2,55.4
812.4000000000001,55.4
813.5000000000001,55.3
814.7,55.3
815.8000000000001,55.3
817.0000000000001,55.3
818.1,55.3
819.3000000000001,55.3
820.4000000000001,55.3
821.6,55.3
822.7,55.3
823.9000000000001,55.3
825.1,55.3
826.2,55.3
827.4000000000001,55.3
828.5000000000001,54.3
829.7,54.3
830.8000000000001,54.3
832.0000000000001,55.2
833.2,55.2
834.3000000000001,55.2
835.5000000000001,55.2
836.6,55.2
837.8000000000001,55.2
839.0000000000001,55.2
840.1,55.2
841.3000000000001,55.2
842.4000000000001,55.2
843.6,55.2
844.8000000000001,55.2
845.9000000000001,55.2
847.1,55.2
848.3000000000001,55.2
849.4000000000001,55.2
850.6,55.2
851.8000000000001,55.2
852.9000000000001,55.2
854.1,55.2
855.3000000000001,55.2
856.5000000000001,55.2
857.6,55.2
858.8000000000001,55.2
860.0000000000001,55.2
861.1,55.2
862.3000000000001,55.2
863.5000000000001,55.2
864.7,55.2
865.8000000000001,55.2
867.0000000000001,55.2
868.2,55.2
869.4000000000001,54.2
870.6,54.2
871.7,54.2
872.9000000000001,54.2
874.1,54.2
875.3000000000001,54.2
876.5000000000001,54.2
877.6,54.2
878.8000000000001,54.2
880.0000000000001,54.2
881.2,54.2
882.4000000000001,54.2
883.5000000000001,54.2
884.7,54.2
885.9000000000001,55.0
887.1,55.6
888.3000000000001,55.6
889.5000000000001,55.6
890.7,55.6
891.9000000000001,55.6
893.0000000000001,55.6
894.2,55.6
895.4000000000001,55.6
896.6,54.9
897.8000000000001,55.6
899.0000000000001,55.6
900.2,54.9
901.4000000000001,55.6
902.6,55.6
903.8000000000001,55.6
905.0000000000001,55.6
906.1,55.6
907.3000000000001,55.6
908.5000000000001,55.6
909.7,55.0
911.0000000000001,55.0
912.2,55.0
913.4000000000001,55.0
914.6,55.0
915.8000000000001,54.9
917.1,54.9
918.3000000000001,55.0
919.5000000000001,55.0
920.7,55.0
921.9000000000001,55.6
923.1,55.6
924.3000000000001,54.9
925.5000000000001,54.9
926.7,54.9
927.9000000000001,54.9
929.1,54.9
930.3000000000001,54.9
931.5000000000001,54.9
932.7,54.9
934.0000000000001,54.9
935.2,54.9
936.4000000000001,54.9
937.6,54.9
938.8000000000001,54.9
940.0000000000001,54.9
941.2,54.9
942.4000000000001,54.9
943.7,54.9
944.9000000000001,54.8
946.1,54.8
947.3000000000001,55.0
948.5000000000001,55.0
949.7,54.9
950.9000000000001,54.9
952.2,55.6
953.4000000000001,55.6
954.6,55.6
955.8000000000001,55.6
957.0000000000001,54.9
958.2,54.9
959.5000000000001,54.9
960.7,55.0
961.9000000000001,55.0
963.1,54.8
964.3000000000001,54.8
965.5000000000001,54.8
966.8000000000001,54.8
968.0000000000001,54.8
969.2,54.8
970.4000000000001,54.8
971.6,54.8
972.9000000000001,54.8
974.1000000000001,54.8
975.3000000000001,54.8
976.5000000000001,54.8
977.7,54.9
979.0000000000001,54.9
980.2,54.9
981.4000000000001,54.9
982.6000000000001,54.9
983.9000000000001,54.8
985.1000000000001,54.8
986.3000000000001,54.8
987.5000000000001,54.8
988.8000000000001,54.8
990.0000000000001,54.8
991.2,54.8
992.5000000000001,54.8
993.7,54.8
994.9000000000001,54.8
996.1000000000001,54.8
997.4000000000001,54.8
998.6000000000001,54.8
999.8000000000001,54.8
1001.1000000000001,54.8
1002.3000000000001,54.8
1003.5000000000001,55.9
1004.8000000000001,55.9
1006.0000000000001,55.9
1007.2,55.9
1008.5000000000001,55.9
1009.7,55.9
1010.9000000000001,55.9
1012.2,55.9
1013.4000000000001,55.9
1014.6000000000001,55.9
1015.9000000000001,55.9
1017.1000000000001,55.9
1018.4000000000001,55.9
1019.6000000000001,55.9
1020.8000000000001,55.9
1022.1000000000001,55.9
1023.3000000000001,55.9
1024.5,55.7
1025.8000000000002,55.7
1027.0,55.7
1028.3000000000002,55.9
1029.5,55.8
1030.8000000000002,55.8
1032.0,55.8
1033.2,55.8
1034.5,55.8
1035.7,55.8
1037.0,55.8
1038.2,55.8
